Sum_Qvals	sum_data	sum_err	Sum_sq	Sum_qb	Sum_fs
0.02777	0.641140881985743	0.00800712733747718	0.001931	0.02779	1
0.02814	0.62977505028552	0.00793583675667236	0.002725	0.02822	1
0.02817	0.640612716050774	0.00800382855920074	0.001951	0.02819	1
0.02857	0.613300177672267	0.00783134840032205	0.001971	0.02859	1
0.02897	0.605856186091948	0.00778367641986708	0.00199	0.02899	1
0.02937	0.612916793544842	0.00782890026469134	0.00201	0.02939	1
0.02944	0.605546079517034	0.00778168413338034	0.002771	0.02952	1
0.02977	0.595157844958369	0.00771464739932013	0.00203	0.02979	1
0.03017	0.584985459158894	0.00764843421334651	0.00205	0.03019	1
0.03057	0.590270960856757	0.00768290935034871	0.00207	0.03058	1
0.03075	0.597554270334092	0.00773016345450788	0.002819	0.03083	1
0.03097	0.594483209709527	0.00771027372866571	0.00209	0.03098	1
0.03137	0.563432099073367	0.00750621142170514	0.00211	0.03138	1
0.03176	0.555154354262464	0.00745086809883563	0.002131	0.03178	1
0.03206	0.55478168466608	0.00744836683217254	0.002868	0.03213	1
0.03216	0.570317930998327	0.00755193969122057	0.002151	0.03218	1
0.03256	0.569242288556547	0.00754481469988857	0.002171	0.03258	1
0.03296	0.538973423259352	0.00734148093547448	0.002192	0.03298	1
0.03336	0.552275055763142	0.00743152108093048	0.002212	0.03338	1
0.03337	0.552813068039558	0.00743513999894796	0.002918	0.03344	1
0.03376	0.526304291171955	0.00725468325409149	0.002233	0.03378	1
0.03416	0.540394325057554	0.00735115178089498	0.002253	0.03418	1
0.03456	0.509647555717713	0.00713896039852942	0.002274	0.03458	1
0.03467	0.517797544457498	0.00719581506472685	0.00297	0.03474	1
0.03496	0.528029503106048	0.00726656385856512	0.002295	0.03497	1
0.03536	0.500085866335896	0.007071674952484	0.002316	0.03537	1
0.03576	0.502821738874586	0.0070909924472854	0.002336	0.03577	1
0.03598	0.497643524691915	0.00705438533602975	0.003022	0.03605	1
0.03616	0.500825001256855	0.00707689904730069	0.002357	0.03617	1
